reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A1F6404F1VG29J,B000F83SZQ,Avidreader,"[0, 0]",I enjoy vintage books and movies so I enjoyed reading this book. The plot was unusual.,5.0,Nice vintage story,1399248000,"05 5, 2014"
A2R4UNHFJBA6PY,B000FA64PK,Bookworm,"[2, 2]",Loved the suspense in the story. Couldn't put it down.,4.0,Great suspense,1482028800,"12 18, 2016"
A3R4KO97P4QNN8,B000FA64PK,CasualReader,"[1, 1]",It was an okay read. Not the best I've had.,3.0,Okay Read,1561939200,"07 1, 2019"
A4XYZ2L7KGZSV,B000F83SZQ,FantasyFan,"[3, 4]",I absolutely loved this fantasy book. The characters were amazing.,5.0,Fantastic!,1467158400,"06 29, 2016"
A5XYJZ7J4OEGZ,B000FA64PK,RomanceReader,"[0, 1]",The romantic elements felt a bit forced to me.,2.0,Forced romance,1593561600,"07 1, 2020"
A6KLJ7B4O0ZQ4,B000F84TDC,ThrillerFan,"[1, 2]",The suspense was gripping. Couldn't predict the ending at all.,4.5,Unpredictable!,1507248000,"10 6, 2017"
A7LMJ3Y4X0ZM2,B000F83SZW,SciFiLover,"[5, 5]",An enthralling tale set in a dystopian future. A masterpiece!,5.0,Masterpiece!,1543622400,"12 1, 2018"
A8ZY5XIK3ZUZR,B000F84TDC,HistoricalBuff,"[2, 3]",The historical accuracies in the book were commendable. Enjoyed the deep dive into the past.,4.0,Historically Rich,1575158400,"12 1, 2019"
A9PL4H4IEQWDP,B000F83TDC,MysteryMaven,"[4, 5]",The mystery element was well-executed. Kept me guessing till the end.,4.5,A real puzzler,1606780800,"12 1, 2020"
A10R4NUJ3ZU44P,B000FA65TC,TeenReader,"[0, 0]",It was okay. The high school drama felt too exaggerated.,2.5,Too much drama,1638316800,"12 1, 2021"
A11TY9QYGPZ1BR,B000F83S8K,FictionAficionado,"[3, 3]",A delightful read! The author's writing style is unique and engaging.,4.5,Delightful!,1609459200,"01 1, 2021"
A12LU8KL4IWFF,B000FA65TC,AdventureSeeker,"[2, 2]",The adventure sequences were breathtaking! Felt like I was on the journey with the characters.,5.0,Adrenaline Rush,1612137600,"02 1, 2021"
A13DEQ2YMGCTK2,B000F83S8K,NonFictionFan,"[1, 2]",A deep dive into the reality of the subject. Enlightening and educational.,4.0,Insightful!,1614556800,"03 1, 2021"
